Station_name,Year,DisTot_max_rel,DisTot_max_month,DisTot_40perc,DisTot_60perc,DisTot_80perc
Storelva v/ Nes verk,2014,163.03859636865,3,1,1,1
Storelva v/ Nes verk,2015,68.865389976343,3,1,3,NA
Storelva v/ Nes verk,2016,-Inf,NA,NA,NA,NA
Søndeledelva v. Søndeleddammen,1990,128.326007835786,2,1,1,2
Søndeledelva v. Søndeleddammen,1991,94.4148130856444,1,1,1,1
Søndeledelva v. Søndeleddammen,1992,41.3909318784175,5,5,NA,NA
Søndeledelva v. Søndeleddammen,1993,58.4302823400363,1,1,NA,NA
Søndeledelva v. Søndeleddammen,1994,216.15886675294,4,3,4,4
Søndeledelva v. Søndeleddammen,1995,113.495599154454,1,1,1,1
Søndeledelva v. Søndeleddammen,1996,62.0916320611802,5,4,5,NA
Søndeledelva v. Søndeleddammen,1997,64.40479907545,2,2,2,NA
Søndeledelva v. Søndeleddammen,1998,99.3706628360198,4,1,1,1
Søndeledelva v. Søndeleddammen,1999,90.4110445899902,4,1,1,1
Søndeledelva v. Søndeleddammen,2000,52.7138670652387,4,1,NA,NA
Søndeledelva v. Søndeleddammen,2001,171.692337525226,1,1,1,1
Søndeledelva v. Søndeleddammen,2002,74.67327983927,2,2,2,NA
Søndeledelva v. Søndeleddammen,2003,88.393452566645,1,1,1,1
Søndeledelva v. Søndeleddammen,2004,75.1887046940096,4,1,1,NA
Søndeledelva v. Søndeleddammen,2005,42.4557460223909,1,1,NA,NA
Søndeledelva v. Søndeleddammen,2006,166.939936690242,5,2,4,4
Søndeledelva v. Søndeleddammen,2007,98.0960434025841,3,1,1,3
Søndeledelva v. Søndeleddammen,2008,148.74336142129,1,1,1,1
Søndeledelva v. Søndeleddammen,2009,91.6061653438264,4,1,1,1
Søndeledelva v. Søndeleddammen,2010,109.387404644365,4,3,4,4
Søndeledelva v. Søndeleddammen,2011,83.31940617871,4,3,4,4
Søndeledelva v. Søndeleddammen,2012,52.4952589119319,1,1,NA,NA
Søndeledelva v. Søndeleddammen,2013,148.192609344997,5,1,4,4
Søndeledelva v. Søndeleddammen,2014,165.458732033928,3,1,1,1
Søndeledelva v. Søndeleddammen,2015,75.2057022389301,3,1,1,NA
Søndeledelva v. Søndeleddammen,2016,86.943352466496,2,1,2,2
