River_type,Year,Quarter,TrspTot_TOTN,TrspTot_NO3-N,TrspTot_TOTP,TrspTot_TOC,DisTot
Distant,1999,2,8463994.16363343,5035456.47142939,122106.541711791,70822144.0367435,18637938335.8031
Distant,1999,3,5143422.2241229,2856398.97331657,75861.5221401072,38896910.1026592,11249928052.117
Distant,1999,4,6287688.42307634,3791194.43160741,65201.4187834727,40754367.5942865,10319789886.5299
Distant,2000,1,5228138.47343326,3198481.57710431,57140.9570835086,27378447.0207848,9089107913.37804
Distant,2000,2,7865762.36676015,4224472.55227158,115888.159121948,64219162.6398081,15139241844.0128
Distant,2000,3,6560531.31162983,2531601.02914447,105937.563140389,43385705.0887977,13718071991.0661
Distant,2000,4,13238913.0276344,7590311.11102817,189894.010723566,137904952.170544,26553999622.0345
Distant,2001,1,4960283.56873514,2845333.10038729,72586.9052062903,37502808.8535265,10311086553.5043
Distant,2001,2,7615100.23137132,4311361.51145453,129415.659893764,65258911.4521582,16802949298.1889
Distant,2001,3,4422515.66977434,2268445.03687344,112771.288242918,48378949.6577871,12675255268.4666
Distant,2001,4,5206323.74036215,3520179.35070925,98613.2460423157,53798947.2665506,12424388977.5389
Distant,2002,1,4115428.19484034,2917150.47774353,70422.9374368943,29421105.9337502,8985356365.42006
Distant,2002,2,7544061.9696062,4936308.58371491,160886.322139035,67988833.8103526,17241033462.9966
Distant,2002,3,3964834.57412219,2241165.45432522,104835.688983127,38529071.2493703,10389035248.7728
Distant,2002,4,3401622.42297409,2306502.33627837,60937.5408742678,24113414.2245097,7346211207.0764
Distant,2003,1,3527202.69373729,2599225.34388707,52272.64097775,20703086.2457653,6366207295.36286
Distant,2003,2,7117391.15259535,5024273.99065406,142785.807869293,66810526.6660759,14706013324.302
Distant,2003,3,3357692.52036452,2023015.46558617,103724.592590118,32533953.7996074,9390956142.44176
Distant,2003,4,5394472.50527399,4150223.86974251,81335.4623971611,29309208.6947999,8366091559.81866
Distant,2004,1,4185146.01454748,2906810.66424377,72078.1790741648,26112322.0922829,8291174736.25016
Distant,2004,2,6295719.51535902,3427592.94076531,155827.13062044,46865609.2844737,13533656317.2401
